Page,Index,Title,DOI,PDFLink,Downloaded
2,50,A Sixth-Order 200 MHz IF Bandpass Sigma-Delta Modulator With Over 68 dB SNDR in 10 MHz Bandwidth,10.1109/JSSC.2010.2048505,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5482513,0
2,51,Demonstration of a 40 gigasample/s real-time photonic analog-to-digital converter,10.1109/MWP.2005.203544,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1590272,0
2,52,IMDD Transmission at Net Data Rate of 333 Gb/s Using Over-100-GHz-Bandwidth Analog Multiplexer and Mach–Zehnder Modulator,10.1109/JLT.2019.2898675,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8638947,0
2,53,Analog performance of compact lithium niobate optical modulators on silicon,10.1109/AVFOP.2016.7789915,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7789915,0
2,54,A continuous-time delta-sigma modulator with novel data-weighted averaging algorithm for audio application,10.1109/EDSSC.2015.7285105,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7285105,0
2,55,A continuous-time delta-sigma modulator using feedback resistors,10.1109/VDAT.2009.5158140,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5158140,0
2,56,A Tracking Quantizer for Continuous Time Quadrature Bandpass Sigma-Delta Modulators,10.1109/ICECS.2018.8618055,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8618055,0
2,57,On the Implicit Anti-Aliasing Feature of Continuous-Time Cascaded Sigma–Delta Modulators,10.1109/TCSI.2007.906070,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4358607,0
2,58,Combining Multipath and Single-Path Time-Interleaved Delta-Sigma Modulators,10.1109/TCSII.2008.2008062,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4698874,0
2,59,A high-frequency double-sampling second-order /spl Delta//spl Sigma/ modulator,10.1109/TCSII.2005.853513,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1556803,0
2,60,Multi-octave operation of analog optical link using parallel intensity modulators,10.1109/ICOCN.2013.6617237,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6617237,0
2,61,MASH sigma-delta modulators with reduced sensitivity to the circuit non-idealities,10.1109/ISCAS.2009.5118465,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5118465,0
2,62,Pulse-width modulation in sigma-delta modulators,10.1109/ISCAS.2010.5537341,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5537341,0
2,63,Maximum Sequence Length MASH Digital Delta–Sigma Modulators,10.1109/TCSI.2007.905653,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4358599,0
2,64,Analysis of Gain and Bandwidth Limitations of Operational Amplifiers in Sigma-Delta Modulators,10.1109/PRIME.2018.8430341,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8430341,0
2,65,A Reconfigurable Continuous-Time Delta-Sigma Modulator Structure Using Hybrid Loop Filter and Time-Interleaved Quantizer,10.1109/ISCAS58744.2024.10558512,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10558512,0
2,66,An analog GFSK modulator in 0.35 /spl mu/m CMOS [Bluetooth transmitter applications],10.1109/ISSCC.2004.1332655,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1332655,0
2,67,All-Optical Analog-to-Digital Conversion Using Inherent Multiwavelength Phase Shift in LiNbO$_{3}$  Phase Modulator,10.1109/LPT.2008.924189,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4529244,0
2,68,Green Bandpass Sigma Delta Modulator with Capacitive Feedforward Summation and Series-Peaking LNA Chip Design for Communication System Application,10.1109/iThings.2014.101,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7059727,0
2,69,A FinFET based 2nd-Order Fully Differential Passive Sigma Delta Modulator for Low Power ADC,10.1109/ICCCNT49239.2020.9225635,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9225635,0
2,70,Electromechanical-Filter-Based Bandpass Sigma–Delta Modulator,10.1109/TCSII.2009.2022211,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5071171,0
